hipotesis,pi_uniforme,pi_demografico,logLR_antrop,logLR_osint,logLR_gen,logLR_total,posterior_uniforme,posterior_demografico,log10_post_uniforme,log10_post_demografico
H0,0.16666666666666666,0.2,0,0,0,0,1.035142166679345e-31,9.410383333448585e-32,-30.985,-31.026392685158225
C1,0.16666666666666666,0.18,0.346,0.398,0,0.744,5.74116462207328e-31,4.697316508969048e-31,-30.241,-30.3281501757189
C2,0.16666666666666666,0.22,1.07,1.415,28.5,30.985,1,1,0,0
C3,0.16666666666666666,0.12,0.346,-0.389,0.42,0.37699999999999995,2.466039337234336e-31,1.345112365764183e-31,-30.608,-30.871241434774582
C4,0.16666666666666666,0.2,1.07,1.423,11.2,13.693,5.105049999754044e-18,4.640954545230983e-18,-17.292,-17.333392685158223
C5,0.16666666666666666,0.08,0.777,0.461,2.9,4.138,1.4223287871228155e-27,5.172104680446641e-28,-26.847,-27.28633269383026
