Hipotesis,P1_solo_antrop,P2_antrop_osint,P3_completa_con_hermanos,P3_alternativa_sin_hermanos
H0,0.02638371061633147,0.00037875137321944675,2.155297945042074e-32,5.4337543388573724e-15
C1,0.03169409711342178,0.001399899071715633,7.966174661990863e-32,2.008364376408464e-14
C2,0.4583830605830232,0.5557083228539758,1.0,7.972466171620758e-12
C3,0.021129398075614536,8.97440090573097e-05,1.3432553074609088e-32,3.3865013289224813e-15
C4,0.4167118732572938,0.4397989782989762,3.966498686824305e-18,0.9999999999620925
C5,0.04569786035431527,0.002624304393055637,1.1862256377973343e-28,2.990611447049513e-11
