candidato,lambda_0.0,lambda_0.3,lambda_0.5,lambda_0.7,lambda_1.0
H0,3.9668708074600543e-4,2.108616318987606e-12,4.207266275659748e-18,8.394599865188277e-24,2.36591969748574e-32
C1,0.0016272266812379077,8.649630656732317e-12,1.7258378886328083e-17,3.4434993076310473e-23,9.70509967245482e-32
C2,0.5302101735970078,0.9999943892688309,0.9999999980546379,0.9999999999993254,1
C3,1.5647611563918728e-4,1.1117254896537388e-12,2.6915347986908792e-18,6.5162839406040114e-24,2.454708915685004e-32
C4,0.4607316600608205,5.610448281431058e-6,1.945360077838214e-9,6.745280276974658e-13,4.355118736855677e-18
C5,0.006877776464548426,2.7101764257341823e-10,2.0558905919846686e-15,1.5595525028258952e-20,3.258367010020059e-28
