candidato,A1_B1_G1,A1_B1_G2,A1_B2_G1,A1_B2_G2,A2_B1_G1,A2_B1_G2,A2_B2_G1,A2_B2_G2
H0,2.36591969748574e-32,6.223002851691549e-31,7.691304402866065e-32,2.0230191786782645e-30,3.1841975217261054e-32,8.375292821268778e-31,1.0351421666793414e-31,2.722701308077907e-30
C1,9.70509967245482e-32,2.5527013026612278e-30,2.5644840365177087e-31,6.7452802769792e-30,2.1727011788637202e-31,5.714786366718609e-30,5.741164622073237e-31,1.510080154164139e-29
C2,1,0.9999999999999998,1,0.9999999999999998,1,0.9999999999999998,1,0.9999999999999998
C3,2.454708915685004e-32,8.912509381337352e-31,1.1015393095414058e-31,3.999447497610938e-30,5.495408738576246e-32,1.995262314968878e-30,2.4660393372343452e-31,8.953647655495953e-30
C4,4.355118736855677e-18,1.1455129414455341e-16,5.1050499997540646e-18,1.342764961137865e-16,4.355118736855677e-18,1.1455129414455341e-16,5.1050499997540646e-18,1.342764961137865e-16
C5,3.258367010020059e-28,1.2387965865303626e-25,7.655966069112555e-28,2.910717118066592e-25,6.053408747539127e-28,2.301441817408497e-25,1.4223287871228187e-27,5.407543229455785e-25
