"","Hi","pi","log_LRant","log_LRabi","log_LRgen","log10_LRtotal","posterior"
"1","H0",0.2,0,0,0,0,0.00000000000000000000000000000186211850014561
"2","C1",0.18,0.1254,0.3979,0,0.5233,0.00000000000000000000000000000559177675352201
"3","C2",0.22,1.1985,1.4151,27.075,29.6886,1
"4","C3",0.12,0.1254,-0.3888,0.56,0.2966,0.00000000000000000000000000000221186473880938
"5","C4",0.2,1.1985,1.4233,11.2,13.8218,0.000000000000000123539919736437
"6","C5",0.08,0.6365,0.4609,4.06,5.1574,0.000000000000000000000000107020581443601
